사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-21,2호선,28,종합운동장,4,0,1606,835,5673,6966,16237,12926,22676,22445,15380,10485,9324,8090,8814,7000,9250,8045,8977,9382,8501,10222,11548,13423,13076,20414,14784,22199,17581,33573,11040,17012,16257,9509,18190,9952,12477,12379,1367,3913,3,274,0,0,0,0,0,0
Jun-21,2호선,29,삼성(무역센터),144,0,4308,5060,6824,39509,14275,125083,19060,329768,20085,230793,22351,92072,32496,67706,39188,59609,50793,67325,62437,56441,76464,48089,96166,46843,179797,47887,292353,54569,145577,29137,101060,16038,89962,12849,67261,13222,8571,4721,0,1992,0,0,0,0,0,0
Jun-21,2호선,30,선릉,24,0,3627,6383,10025,38339,20170,109031,29681,279007,28075,213379,31786,90882,42605,62958,49628,52723,58696,59890,67661,51028,83895,44835,113307,42493,169112,49187,288032,53553,133762,30913,83372,17950,88665,15963,81012,18029,11296,6674,0,98,0,0,0,0,0,0
Jun-21,2호선,31,역삼,27,0,3419,7400,8075,38631,14314,129504,23582,340955,22155,279383,22979,106015,30623,61473,37384,51806,44667,59051,52573,48320,67532,43073,87349,40739,181420,44443,284856,53226,139400,32039,76463,18176,80410,15421,64947,16658,10586,6779,2,2,0,1,1,0,0,0
Jun-21,2호선,32,강남,68,5,5634,10898,15798,49800,37686,150575,60412,319617,47444,310538,47162,146907,63593,104498,80198,102420,96731,121091,104901,108102,130240,99570,149359,104024,228834,130644,333597,182063,202589,99888,156402,43968,212344,35446,209363,37493,27475,13686,7,5,0,0,0,0,0,0
Jun-21,2호선,33,교대(법원.검찰청),18,1,2366,6923,11842,25344,24154,58254,33988,157982,26824,137549,25349,66113,30985,51410,34406,46562,40404,53373,47657,48092,52623,44124,58677,44462,93206,52592,146869,67556,64550,40034,49050,21605,58044,19337,53655,22696,7841,8012,3,55,0,0,0,0,0,0
Jun-21,2호선,34,서초,41,1,1254,4470,7429,19853,14833,50017,24521,122633,24260,89155,18322,36873,24348,25777,22332,20262,27938,24306,29289,21969,34496,19230,40830,20256,67516,20632,105483,22952,43063,15053,26002,9241,27445,8981,20674,11076,4234,3479,1,1,0,0,0,0,0,0
Jun-21,2호선,35,방배,3,1,2771,3143,9266,14236,23001,27907,30780,73679,23695,46538,17019,23692,17378,18937,19294,19729,21843,21431,22577,20959,25141,21065,31328,22890,42127,29101,66605,37378,26986,25453,19297,16085,20356,16246,18102,19311,3448,6320,1,23,1,1,2,2,0,0
Jun-21,2호선,36,사당,93,3,11914,3608,25142,27176,71046,40749,99350,61741,68597,46692,42278,38259,38482,40378,42965,41123,44447,43722,43953,43258,45379,51658,50491,66369,63099,98322,87006,150629,53854,101100,48106,58073,61899,56336,62883,67449,11040,25121,5,1427,0,0,0,0,0,0
Jun-21,2호선,37,낙성대(강감찬),56,0,11657,1942,26007,8488,77510,20099,125167,38509,76944,30811,39332,23826,33589,21550,35687,24991,34536,25891,31855,28381,33446,32751,36243,38821,43151,55950,46497,95878,26218,81237,20440,50982,20718,49182,17056,62294,4231,22418,6,1409,0,0,0,0,0,0
Jun-21,2호선,38,서울대입구(관악구청),3862,12,28844,2372,43374,13516,126268,31479,182014,65620,114219,60236,61185,48062,54187,42982,60127,47115,60081,52218,56096,53703,60652,61127,68997,72036,76654,101650,85401,173128,50652,141346,42459,80526,50213,74010,45312,94861,9108,35233,1,7332,0,0,0,0,0,0
Jun-21,2호선,39,봉천,49,0,15809,1588,28936,7349,80452,13080,122108,26337,68994,19903,36127,18991,29630,19263,30628,20935,30956,23982,26115,25036,26455,32375,29254,36485,29450,50275,32484,85946,18089,70985,14527,42176,14440,40541,11213,46417,2650,18540,1,216,0,0,0,0,0,0
Jun-21,2호선,40,신림,237,12,40109,3706,75790,19644,203625,34585,311074,63808,177267,49526,92298,41946,74891,42580,79100,49982,74554,57346,66989,64001,66286,79514,75620,95686,82438,139259,83121,245476,50878,211491,42944,124849,46544,120268,44506,139486,10139,63466,1,69,1,1,0,0,0,0
Jun-21,2호선,41,신대방,181,7,26149,1891,36950,8715,88550,17853,130425,32348,76528,22096,40883,17774,31804,18183,32145,21217,30551,23533,27223,26229,27039,35452,30566,41453,34057,59888,40888,93073,21873,80612,15635,51039,12507,55014,10554,61617,2900,27266,0,4,0,0,0,0,0,0
Jun-21,2호선,42,구로디지털단지,285,6,40159,5663,52880,22522,134048,85822,183174,268761,109828,152613,60920,57973,54690,43450,59463,44629,61034,51260,55513,50689,57430,60106,70475,70809,126410,103734,236175,162836,109183,125661,61807,76419,56760,75719,49254,89412,7902,36652,0,34,1,1,0,0,0,0
Jun-21,2호선,43,대림(구로구청),412,20,34772,3267,29903,11601,65255,24681,91050,56423,61110,34946,33297,28143,27642,28225,30079,27936,29912,29486,27827,29703,28836,37228,33233,41615,41912,58740,52957,72361,26990,52134,18925,34930,16643,44849,12799,50327,3662,17529,2,305,1,0,0,0,0,0
Jun-21,2호선,44,신도림,3713,15,35758,4839,49765,17439,131054,39621,133861,109578,82632,62858,53442,58206,51495,54544,59198,57805,61366,61643,59828,59223,62811,66591,72684,75040,90721,102546,123634,168715,67229,119777,56970,65693,65938,63590,56779,79956,9603,34253,22,7289,0,1,0,0,0,0
Jun-21,2호선,45,문래,12,0,3750,2246,13425,10424,42587,35904,46699,124013,25361,54728,17682,21707,17109,18746,19191,21015,21095,21885,21179,20881,23904,22436,29692,25703,53988,33613,103006,55422,35687,38466,24287,19248,27139,17526,25190,20479,3860,7474,3,212,0,0,1,1,0,0
Jun-21,2호선,46,영등포구청,27,0,5705,2986,12736,14512,40313,37627,47132,125800,29459,55573,22530,26225,23320,22196,24712,23126,25591,25375,26375,23438,28402,24023,34762,26909,54915,33336,107795,52769,33349,35452,24451,19737,25942,19127,20561,21730,3850,9464,1,244,0,0,1,1,0,0
Jun-21,2호선,47,당산,44,4,6576,3109,17276,12432,45774,29933,55760,78083,31967,37339,21461,18344,20442,16913,21169,18874,21111,21079,20485,20677,22033,22902,25602,28613,40176,43049,60343,73469,26398,48000,19514,29505,22644,29942,21194,33814,4488,13350,1,205,0,0,0,0,0,0
Jun-21,2호선,48,합정,47,2,7414,2808,17437,15301,43598,33017,55771,93190,35421,78212,24762,42091,25478,41869,30047,44826,34181,50083,36463,46082,39489,45705,48306,53862,66284,69937,108858,106646,69362,67275,53213,32572,70916,27357,72126,30239,11881,14074,1,527,0,0,0,0,0,0
Jun-21,2호선,49,홍대입구,258,10,11271,2975,20930,14080,56687,34231,74842,96590,46502,105606,34996,74012,40033,82452,50771,103474,59356,113715,64308,109893,79136,112375,98663,120598,121883,143318,152578,181911,116775,115297,116231,53077,167876,39418,168232,44748,25242,22255,124,2378,0,0,0,0,0,0
